
param stats: 
    rebound  assist   height   	scoring   defense  maxplay :=  
1  		8 		8	 	1.92	 	3	 	7 		35
2 	 	6 		7 		1.87 		6 		6 		40
3  		4 		7 		1.84 		8 		4		40
4 		8 		9 		1.91 		7 		9 		40
5  		9 		6 		2.02 		8 		10 		25
6 		8 		6 		1.93 		6 		9 		35
7  		7 		8 		1.86 		9 		8 		40
8  		7 		5 		1.83 		9 		8 		40
9  		6 		7 		1.98 		6 		9 		40
10 		10 		7 		2.05 		2 		9 		20
11 		9 		10 		2.00 		5 		10 		35
12 		9 		5 		2.01 		6		5 		20
13 		7   	7   	1.94 		8 		6 		35
14 		4		9 		1.89 		10 		4 		40
15 		3 		7 		1.87 		9 		2 		40
16 		7 		8 		2.03 		4 		6 		30
17 		6 		7 		1.88 		7 		5 		40
18 		4 		7 		1.93 		5 		4 		35
19 		3 		8 		1.95 		6 		3 		40
20 		6 		9 		1.99 		8 		4 		30 ; 
